id,Food Group,Food Name,Protein (g),Fat (g),Carbohydrates (g),Ash (g),Calories,Starch (g),Sucrose (g),Glucose (g),Fructose (g),Lactose (g),Maltose (g),Alcohol (g),Water (g),Caffeine (mg),Theobromine (mg),Sugar (g),Galactose (g),Fiber (g),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potasssium (mg),Sodium (mg),Zinc (mg),Cupper (mg),Fluoride (mcg),Manganese (mg),Selenium (mcg),Vitamin A (IU),Retinol (mcg),Retinol Equivalents (mcg),Beta Carotene (mcg),Alpha Carotene (mcg),Vitamin E (mg),Vitamin D (mcg),Vitamin D2 (Ergocalciferol)  (mcg),Vitamin D3 (Cholecalciferol) (mcg),Beta Cryptoxanthin (mcg),Lycopene (mcg),Lutein and Zeaxanthin (mcg),Vitamin C (mg),Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Vitamin B5 (mg),Vitamin B6 (mg),Folate (B9) (mg),Vitamin B12,Choline (mg),Cholesterol (mg),Saturated Fat (g),Net Carbs
9439,Fruits and Fruit Juices,"USDA Commodity pears, canned, juice pack, drained",0.34,0.19,12.91,0.29,51,NULL,0.67,2.01,5.4,0,0.2,NULL,86.26,NULL,NULL,8.27,0,2.2,9,0.34,7,9,99,4,0.14,0.03,NULL,0.042,NULL,NULL,NULL,NULL,NULL,NULL,0.2,NULL,NULL,NULL,NULL,NULL,NULL,0.3,0.02,0.046,0.218,0.041,0.016,1,NULL,NULL,NULL,NULL,10.71
9440,Fruits and Fruit Juices,"USDA Commodity pears, canned, light syrup, drained",0.28,0.15,16.21,0.19,62,NULL,0.35,4.24,5.67,0,0.95,NULL,83.16,NULL,NULL,11.22,0,1.6,5,0.28,4,7,61,5,0.09,0.03,NULL,0.037,NULL,NULL,NULL,NULL,NULL,NULL,0.11,NULL,NULL,NULL,NULL,NULL,NULL,0.9,0.02,0.014,0.115,0.041,0.016,3,NULL,NULL,NULL,NULL,14.61
9442,Fruits and Fruit Juices,"Pomegranate juice, bottled",0.15,0.29,13.13,0.49,54,NULL,0,6.28,6.37,0,0,0,85.95,0,0,12.65,0,0.1,11,0.1,7,11,214,9,0.09,0.021,NULL,0.095,0.3,0,0,0,0,0,0.38,0,NULL,NULL,0,0,0,0.1,0.015,0.015,0.233,0.285,0.04,24,0,4.8,0,0.077,13.03
9443,Fruits and Fruit Juices,"Juice, apple and grape blend, with added ascorbic acid",0.16,0.12,12.46,0.22,50,NULL,0.74,3.72,6.46,0,0,0,87.05,0,0,10.92,0,0.2,11,0.11,7,9,96,7,0.05,0.01,72.1,0.041,0.1,4,0,0,2,0,0.01,0,NULL,NULL,0,0,33,28.2,0.006,0.015,0.087,0.035,0.021,0,0,2.4,0,0.023,12.26
9444,Fruits and Fruit Juices,"Juice, apple, grape and pear blend, with added ascorbic acid and calcium",0.17,0.12,12.96,0.31,52,NULL,0.55,3.5,5.89,0,0,0,86.44,0,0,9.95,0,0.2,72,0.14,6,11,89,5,0.06,0.013,43.5,0.086,0.1,1,0,0,0,0,0.01,0,NULL,NULL,0,0,16,50.7,0.005,0.015,0.094,0.03,0.018,0,0,1.8,0,0.021,12.76
9446,Fruits and Fruit Juices,"Plantains, green, fried",1.5,11.81,49.17,1.44,309,40.7,2.36,0.61,0.66,0,0,NULL,36.08,NULL,NULL,3.63,0,3.5,4,0.67,58,44,482,2,0.23,0.183,NULL,0.188,NULL,1192,NULL,60,548,332,NULL,NULL,NULL,NULL,2,NULL,NULL,3.4,0.047,0.102,0.818,0.388,0.264,15,NULL,NULL,NULL,3.69,45.67
9447,Fruits and Fruit Juices,"Plantains, yellow, fried, Latino restaurant",1.42,7.51,40.77,1.26,236,13.27,11.93,4.97,4.86,0,0,NULL,49.04,NULL,NULL,21.76,0,3.2,6,0.62,45,43,507,6,0.24,0.116,NULL,0.28,0.4,1318,NULL,66,582,407,1.1,NULL,NULL,NULL,11,0,100,NULL,0.07,0.02,0.837,0.6,0.29,NULL,NULL,NULL,NULL,1.816,37.57
9448,Fruits and Fruit Juices,"Nance, canned, syrup, drained",0.56,1.28,22.79,0.52,95,NULL,0.07,7.41,8.18,0,0,NULL,74.85,NULL,NULL,15.66,0,7,42,0.37,16,7,194,8,0.06,0.053,NULL,0.172,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10.8,0.015,0.02,0.3,NULL,0.015,NULL,NULL,NULL,NULL,NULL,15.79
9449,Fruits and Fruit Juices,"Nance, frozen, unsweetened",0.66,1.16,16.97,0.57,73,NULL,0,3.58,4.73,0,0,NULL,80.64,NULL,NULL,8.31,0,7.5,46,0.38,20,10,244,3,0.09,0.041,NULL,0.248,0.4,74,NULL,4,40,3,1.25,NULL,NULL,NULL,5,0,569,92.5,0.015,0.018,0.29,0.18,0.021,8,NULL,NULL,NULL,NULL,9.47
9450,Fruits and Fruit Juices,"Naranjilla (lulo) pulp, frozen, unsweetened",0.44,0.22,5.9,0.39,25,NULL,1.72,0.99,1.04,0,0,NULL,93.05,NULL,NULL,3.74,0,1.1,8,0.35,11,12,200,4,0.1,0.028,NULL,0.067,0.4,568,NULL,28,333,4,0.75,NULL,NULL,NULL,10,0,299,3.2,0.045,0,1.45,0.22,0.107,3,NULL,NULL,NULL,NULL,4.8
9451,Fruits and Fruit Juices,Horned melon (Kiwano),1.78,1.26,7.56,0.44,44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,88.97,NULL,NULL,NULL,NULL,NULL,13,1.13,40,37,123,2,0.48,0.02,NULL,0.039,NULL,147,NULL,7,88,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.3,0.025,0.015,0.565,0.183,0.063,3,NULL,NULL,NULL,NULL,7.56
9452,Fruits and Fruit Juices,Orange Pineapple Juice Blend,0.41,0.08,12.2,0.35,51,NULL,NULL,NULL,NULL,NULL,NULL,0,87.24,0,0,10.57,NULL,0.2,8,0.18,10,11,150,4,0.06,0.034,NULL,0.378,0.1,17,0,1,5,3,0.07,0,NULL,NULL,9,0,14,40.7,0.04,0.025,0.173,NULL,0.061,10,0,3.8,0,0.011,12
9500,Fruits and Fruit Juices,"Apples, raw, red delicious, with skin",0.27,0.2,14.06,0.14,59,0.05,1.86,2.71,5.9,0,0,NULL,85.33,NULL,NULL,10.48,0,2.3,6,0.11,5,12,104,1,0.04,0.027,NULL,0.034,0,55,NULL,3,27,0,0.24,NULL,NULL,NULL,12,0,31,NULL,0.015,0.025,0.075,0.051,0.034,3,NULL,3.4,NULL,NULL,11.76
9501,Fruits and Fruit Juices,"Apples, raw, golden delicious, with skin",0.28,0.15,13.6,0.16,57,0.05,2.07,1.87,6.1,0,0,NULL,85.81,NULL,NULL,10.04,0,2.4,6,0.13,5,10,100,2,0.04,0.03,NULL,0.035,0,51,NULL,3,25,0,0.18,NULL,NULL,NULL,12,0,28,NULL,0.018,0.026,0.094,0.074,0.051,3,NULL,5.1,NULL,NULL,11.2
9502,Fruits and Fruit Juices,"Apples, raw, granny smith, with skin",0.44,0.19,13.61,0.29,58,0.05,1.93,2.66,5,0,0,NULL,85.46,NULL,NULL,9.59,0,2.8,5,0.15,5,12,120,1,0.04,0.031,NULL,0.044,0.1,100,NULL,5,59,0,0.18,NULL,NULL,NULL,2,0,64,NULL,0.019,0.025,0.126,0.056,0.037,3,NULL,3.4,NULL,NULL,10.81
9503,Fruits and Fruit Juices,"Apples, raw, gala, with skin",0.25,0.12,13.68,0.2,57,0.05,2.78,1.66,5.93,0,0,NULL,85.76,NULL,NULL,10.37,0,2.3,7,0.12,5,11,108,1,0.05,0.021,NULL,0.037,0,28,NULL,1,11,0,0.18,NULL,NULL,NULL,11,0,11,NULL,0.017,0.029,0.075,0.055,0.049,3,NULL,3.4,NULL,NULL,11.38
9504,Fruits and Fruit Juices,"Apples, raw, fuji, with skin",0.2,0.18,15.22,0.24,63,0.05,2.21,3,6.47,0,0,NULL,84.16,NULL,NULL,11.68,0,2.1,7,0.1,5,13,109,1,0.04,0.025,NULL,0.031,0,38,NULL,2,17,0,0.18,NULL,NULL,NULL,11,0,11,NULL,0.013,0.026,0.07,0.051,0.045,3,NULL,3.4,NULL,NULL,13.12
9506,Fruits and Fruit Juices,"Orange juice, chilled, includes from concentrate, with added calcium and vitamins A, D, E",0.68,0.12,11.54,0.43,49,NULL,4.01,2.08,2.23,0,0,0,87.22,0,0,8.31,0,0.3,146,0.13,11,17,178,2,0.07,0.042,NULL,0.023,0.1,417,112,114,8,8,1.13,1,NULL,NULL,27,0,27,33.6,0.046,0.039,0.28,0.195,0.076,19,0,6.2,0,0.014,11.24
9510,Fruits and Fruit Juices,"Pineapple juice, canned, not from concentrate, unsweetened, with added vitamins A, C and E",0.36,0.14,12.18,0.26,50,NULL,1.53,4.65,3.81,0,0,0,87.06,0,0,9.98,0,0.2,14,0.26,11,9,132,3,0.11,0.028,NULL,0.504,NULL,235,NULL,NULL,NULL,NULL,0.63,0,NULL,NULL,NULL,NULL,NULL,31.3,0.058,0.016,0.141,0.056,0.1,12,0,NULL,0,0,11.98
9512,Fruits and Fruit Juices,"Grape juice, canned or bottled, unsweetened, with added ascorbic acid and calcium",0.37,0.13,14.77,0.22,62,NULL,0.04,6.81,7.36,0,0,0,84.51,0,0,14.2,0,0.2,42,0.25,10,14,104,5,0.07,0.018,138,0.239,0,8,0,0,5,0,0,0,NULL,NULL,0,0,57,25,0.017,0.015,0.133,0.048,0.032,0,0,3.2,0,0.025,14.57
9517,Fruits and Fruit Juices,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium",0.12,0.17,11.49,0.31,48,NULL,1.2,2.57,5.7,0,0,0,87.92,0,0,9.47,0,0.3,70,0.13,5,9,184,5,0.04,0.01,NULL,0.035,0.1,1,0,0,0,0,0.01,0,NULL,NULL,0,0,16,30.3,0.004,0.015,0.067,0.049,0.018,0,0,1.8,0,0.029,11.19
9518,Fruits and Fruit Juices,"Raspberries, frozen, unsweetened",1.2,0.65,11.94,0.46,52,0,0.2,1.86,2.35,0,0,0,85.75,0,0,4.42,0,6.5,25,0.69,22,29,151,1,0.42,0.09,NULL,0.67,0.2,33,0,2,12,16,0.87,0,NULL,NULL,0,0,136,26.2,0.032,0.038,0.598,0.329,0.055,21,0,12.3,0,NULL,5.44
9519,Fruits and Fruit Juices,"Guava nectar, with sucralose, canned",0.3,0.07,13.3,0.09,48,NULL,NULL,NULL,NULL,NULL,NULL,0,86.23,0,0,10.15,NULL,1.2,8,0.54,2,3,33,6,0.02,0.025,NULL,0.058,0.1,49,0,2,29,0,0.06,0,NULL,NULL,0,35,0,21.3,0.005,0.005,0.17,NULL,0.009,4,0,1.1,0,0.023,12.1
9520,Fruits and Fruit Juices,"Kiwifruit, ZESPRI SunGold, raw",1.02,0.28,15.79,0.47,63,0.12,1.22,5.28,5.8,0,0,0,82.44,0,0,12.3,0,1.4,17,0.21,12,25,315,3,0.08,0.151,0,0.048,0.4,23,0,1,14,0,1.4,0,NULL,0,NULL,0,24,161.3,0,0.074,0.231,0.12,0.079,31,0.08,1.9,0,0.065,14.39
9522,Fruits and Fruit Juices,"Cranberry juice blend, 100% juice, bottled, with added vitamin C and calcium",0.27,0.12,10.91,0.1,45,NULL,0.1,4,5.7,0,0,0,88.6,0,0,9.8,0,0.1,19,0.08,5,8,76,6,0.05,0.016,NULL,0.067,0.1,25,0,1,15,0,0.01,0,NULL,NULL,0,0,68,31.5,0.005,0.015,0.094,NULL,0.018,18,0,1.8,0,0.002,10.81
9523,Fruits and Fruit Juices,"Lemon juice from concentrate, bottled, CONCORD",0.4,0.07,5.37,0.19,24,NULL,0,0.76,0.66,0,0,NULL,93.96,NULL,NULL,1.42,0,NULL,8,0.06,6,9,112,29,0.09,0.02,NULL,0.017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.02,0.017,0.197,0.06,0.037,4,NULL,NULL,NULL,NULL,5.37
9524,Fruits and Fruit Juices,"Lemon juice from concentrate, bottled, REAL LEMON",0.47,0.07,5.66,0.23,17,NULL,0,0.88,0.71,0,0,NULL,93.57,NULL,NULL,1.59,0,0.7,9,0.06,6,9,109,26,0.23,0.018,NULL,0.016,NULL,33,NULL,2,0,0,0.23,NULL,NULL,NULL,40,0,11,16.6,0.02,0.017,0.18,0.09,0.037,11,NULL,NULL,NULL,0.027,4.96
9525,Fruits and Fruit Juices,"Cranberry sauce, whole, canned, OCEAN SPRAY",0.75,0.05,40.4,0.1,158,NULL,0.1,17.1,9.7,0,4.4,NULL,58.7,NULL,NULL,31.3,0,1.2,3,0.2,2,4,21,5,0.02,0.017,NULL,0.06,NULL,33,NULL,2,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.007,39.2
9526,Fruits and Fruit Juices,"Cranberry sauce, jellied, canned, OCEAN SPRAY",1.05,0.04,40.61,0.1,160,NULL,0.1,17.8,9.8,0,4.5,NULL,58.2,NULL,NULL,32.2,0,1,3,0.62,2,4,34,5,0.03,0.035,NULL,0.085,NULL,33,NULL,2,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.007,39.61
9528,Fruits and Fruit Juices,"Ruby Red grapefruit juice blend (grapefruit, grape, apple), OCEAN SPRAY, bottled, with added vitamin C",0.5,0.1,10.53,0.27,44,NULL,1.8,3.8,4.7,0,0,NULL,88.6,NULL,NULL,10.3,0,0.2,10,0.14,NULL,NULL,94,8,NULL,NULL,NULL,NULL,NULL,129,NULL,6,77,NULL,NULL,NULL,NULL,NULL,NULL,116,NULL,49.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.008,10.33
9530,Fruits and Fruit Juices,"Fruit juice smoothie, ODWALLA, strawberry banana",0.5,0.32,11.05,0.39,48,NULL,3.48,2.57,3.84,0,0,0,87.74,0,0,9.9,0,0.6,10,0.2,14,18,201,2,0.08,0.04,NULL,0.18,0.2,222,0,11,45,7,8.93,0,NULL,NULL,169,0,48,38.4,0.05,0.05,0.285,0.21,0.065,30,0,3.8,0,0.12,10.45
9531,Fruits and Fruit Juices,"Fruit juice smoothie, NAKED JUICE, strawberry banana",0.48,0.27,11.66,0.31,50,NULL,2.83,2.8,4.42,0,0,0,87.28,0,0,10.05,0,0.6,10,0.2,14,18,201,2,0.08,0.04,NULL,0.18,0.4,31,0,2,11,7,0.13,0,NULL,NULL,9,0,26,8.4,0.04,0.057,0.31,NULL,0.115,35,0,3.8,0,0.092,11.06
11001,Vegetables and Vegetable Products,"Alfalfa seeds, sprouted, raw",3.99,0.69,2.1,0.4,23,NULL,0,0.08,0.12,0,0,0,92.82,0,0,0.2,0,1.9,32,0.96,27,70,79,6,0.92,0.157,NULL,0.188,0.6,155,0,8,87,6,0.02,0,NULL,NULL,6,0,0,8.2,0.076,0.126,0.481,0.563,0.034,36,0,14.4,0,0.069,0.2
11003,Vegetables and Vegetable Products,"Amaranth leaves, raw",2.46,0.33,4.02,1.5,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,91.69,NULL,NULL,NULL,NULL,NULL,215,2.32,55,50,611,20,0.9,0.162,NULL,0.885,0.9,2917,0,146,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,43.3,0.027,0.158,0.658,0.064,0.192,85,0,NULL,0,0.091,4.02
11004,Vegetables and Vegetable Products,"Amaranth leaves, cooked, boiled, drained, without salt",2.11,0.18,4.11,2.11,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,91.49,NULL,NULL,NULL,NULL,NULL,209,2.26,55,72,641,21,0.88,0.158,NULL,0.861,0.9,2770,0,139,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,41.1,0.02,0.134,0.559,0.062,0.177,57,0,NULL,0,0.05,4.11
11005,Vegetables and Vegetable Products,"Arrowhead, raw",5.33,0.29,20.23,1.67,99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,72.48,NULL,NULL,NULL,NULL,NULL,10,2.57,51,174,922,22,0.28,0.171,NULL,0.36,0.7,0,0,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1.1,0.17,0.073,1.65,0.599,0.26,14,0,NULL,0,NULL,20.23
11006,Vegetables and Vegetable Products,"Arrowhead, cooked, boiled, drained, without salt",4.49,0.1,16.14,2.19,78,NULL,NULL,NULL,NULL,NULL,NULL,NULL,77.08,NULL,NULL,NULL,NULL,NULL,7,1.21,49,197,881,18,0.22,0.135,NULL,0.285,0.6,0,0,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0.3,0.144,0.06,1.16,0.449,0.206,9,0,NULL,0,NULL,16.14
11007,Vegetables and Vegetable Products,"Artichokes, (globe or french), raw",3.27,0.15,10.51,1.13,47,NULL,NULL,NULL,NULL,NULL,NULL,0,84.94,NULL,NULL,0.99,NULL,5.4,44,1.28,60,90,370,94,0.49,0.231,NULL,0.256,0.2,13,0,1,8,0,0.19,0,NULL,NULL,0,0,464,11.7,0.072,0.066,1.046,0.338,0.116,68,0,34.4,0,0.036,5.11
11008,Vegetables and Vegetable Products,"Artichokes, (globe or french), cooked, boiled, drained, without salt",2.89,0.34,11.95,0.74,53,0,0.73,0.24,0.02,0,0,0,84.08,0,0,0.99,0,5.7,21,0.61,42,73,286,60,0.4,0.127,NULL,0.225,0.2,13,0,1,8,0,0.19,0,NULL,NULL,0,0,464,7.4,0.05,0.089,1.11,0.24,0.081,89,0,34.4,0,0.079,6.25
11009,Vegetables and Vegetable Products,"Artichokes, (globe or french), frozen, unprepared",2.63,0.43,7.75,0.6,38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,88.59,NULL,NULL,NULL,NULL,3.9,19,0.5,27,58,248,47,0.32,0.054,NULL,0.243,0.2,154,0,8,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,5.3,0.058,0.14,0.86,0.188,0.082,126,0,NULL,0,0.099,3.85
11010,Vegetables and Vegetable Products,"Artichokes, (globe or french), frozen, cooked, boiled, drained, without salt",3.11,0.5,9.18,0.71,45,NULL,NULL,NULL,NULL,NULL,NULL,0,86.5,0,0,0.84,NULL,4.6,21,0.56,31,61,264,53,0.36,0.061,NULL,0.273,0.2,11,0,1,7,0,0.16,0,NULL,NULL,0,0,394,5,0.062,0.158,0.915,0.2,0.087,119,0,29.2,0,0.119,4.58
11011,Vegetables and Vegetable Products,"Asparagus, raw",2.2,0.12,3.88,0.58,20,NULL,0.23,0.65,1,0,0,0,93.22,0,0,1.88,0,2.1,24,2.14,14,52,202,2,0.54,0.189,NULL,0.158,2.3,756,0,38,449,9,1.13,0,NULL,NULL,0,0,710,5.6,0.143,0.141,0.978,0.274,0.091,52,0,16,0,0.04,1.78
11012,Vegetables and Vegetable Products,"Asparagus, cooked, boiled, drained",2.4,0.22,4.11,0.63,22,0,0.08,0.42,0.79,0,0,0,92.63,0,0,1.3,0,2,23,0.91,14,54,224,14,0.6,0.165,21.9,0.154,6.1,1006,0,50,604,0,1.5,0,NULL,NULL,0,30,771,7.7,0.162,0.139,1.084,0.225,0.079,149,0,26.1,0,0.048,2.11
11013,Vegetables and Vegetable Products,"Asparagus, canned, regular pack, solids and liquids",1.8,0.18,2.48,1.22,15,NULL,NULL,NULL,NULL,NULL,NULL,0,94.32,0,0,NULL,NULL,1,15,0.6,9,38,172,284,0.47,0.107,NULL,0.152,1.6,526,0,NULL,NULL,NULL,1.16,0,NULL,NULL,NULL,NULL,NULL,16.5,0.054,0.089,0.851,0.124,0.098,85,0,NULL,0,0.044,1.48
11015,Vegetables and Vegetable Products,"Asparagus, canned, drained solids",2.14,0.65,2.46,0.77,19,NULL,NULL,NULL,NULL,NULL,NULL,0,93.98,0,0,1.06,NULL,1.6,16,1.83,10,43,172,287,0.4,0.096,NULL,0.17,1.7,822,0,41,493,0,1.22,0,NULL,NULL,0,24,630,18.4,0.061,0.1,0.954,0.139,0.11,96,0,21.4,0,0.147,0.86
11018,Vegetables and Vegetable Products,"Asparagus, frozen, unprepared",3.23,0.23,4.1,0.62,24,NULL,NULL,NULL,NULL,NULL,NULL,0,91.82,NULL,NULL,NULL,NULL,1.9,25,0.73,14,64,253,8,0.59,0.137,NULL,0.203,1.7,948,0,47,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,31.8,0.121,0.131,1.202,0.184,0.111,191,0,NULL,0,0.052,2.2
11019,Vegetables and Vegetable Products,"Asparagus, frozen, cooked, boiled, drained, without salt",2.95,0.42,1.92,0.61,18,NULL,NULL,NULL,NULL,NULL,NULL,0,94.1,0,0,0.32,NULL,1.6,18,0.56,10,49,172,3,0.41,0.105,NULL,0.14,3.9,806,0,40,483,0,1.2,0,NULL,NULL,0,24,618,24.4,0.065,0.103,1.038,0.158,0.02,135,0,20.9,0,0.096,0.32
11022,Vegetables and Vegetable Products,"Balsam-pear (bitter gourd), leafy tips, raw",5.3,0.69,3.29,1.47,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,89.25,NULL,NULL,NULL,NULL,NULL,84,2.04,85,99,608,11,0.3,0.201,NULL,0.536,0.9,1734,0,87,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,88,0.181,0.362,1.11,0.063,0.803,128,0,NULL,0,NULL,3.29
11023,Vegetables and Vegetable Products,"Balsam-pear (bitter gourd), leafy tips, cooked, boiled, drained, without salt",3.6,0.2,6.68,0.83,34,NULL,NULL,NULL,NULL,NULL,NULL,0,88.69,0,0,1.04,NULL,1.9,42,1.02,94,77,602,13,0.3,0.201,NULL,0.536,0.9,2416,0,121,1450,0,1.45,0,NULL,NULL,0,0,2638,55.6,0.147,0.282,0.995,0.06,0.76,88,0,21,0,0.032,4.78
11024,Vegetables and Vegetable Products,"Balsam-pear (bitter gourd), pods, raw",1,0.17,3.7,1.1,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,94.03,NULL,NULL,NULL,NULL,2.8,19,0.43,17,31,296,5,0.8,0.034,NULL,0.089,0.2,471,0,24,190,185,NULL,0,NULL,NULL,NULL,NULL,170,84,0.04,0.04,0.4,0.212,0.043,72,0,NULL,0,NULL,0.9
11025,Vegetables and Vegetable Products,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",0.84,0.18,4.32,0.71,19,NULL,NULL,NULL,NULL,NULL,NULL,0,93.95,0,0,1.95,NULL,2,9,0.38,16,36,319,6,0.77,0.033,NULL,0.086,0.2,113,0,6,68,0,0.14,0,NULL,NULL,0,0,1323,33,0.051,0.053,0.28,0.193,0.041,51,0,10.8,0,0.014,2.32
11026,Vegetables and Vegetable Products,"Bamboo shoots, raw",2.6,0.3,5.2,0.9,27,NULL,NULL,NULL,NULL,NULL,NULL,0,91,0,0,3,NULL,2.2,13,0.5,3,59,533,4,1.1,0.19,NULL,0.262,0.8,20,0,1,12,0,1,0,NULL,NULL,0,0,0,4,0.15,0.07,0.6,0.161,0.24,7,0,0,0,0.069,3
11027,Vegetables and Vegetable Products,"Bamboo shoots, cooked, boiled, drained, without salt",1.53,0.22,1.92,0.41,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,95.92,NULL,NULL,NULL,NULL,1,12,0.24,3,20,533,4,0.47,0.082,NULL,0.113,0.4,0,0,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0,0.02,0.05,0.3,0.066,0.098,2,0,NULL,0,0.051,0.92
11028,Vegetables and Vegetable Products,"Bamboo shoots, canned, drained solids",1.72,0.4,3.22,0.34,19,NULL,NULL,NULL,NULL,NULL,NULL,0,94.32,0,0,1.89,NULL,1.4,8,0.32,4,25,80,7,0.65,0.114,NULL,0.157,0.5,13,0,1,8,0,0.63,0,NULL,NULL,0,0,0,1.1,0.026,0.026,0.14,0.092,0.136,3,0,0,0,0.092,1.82
11029,Vegetables and Vegetable Products,"Beans, kidney, mature seeds, sprouted, raw",4.2,0.5,4.1,0.5,29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90.7,NULL,NULL,NULL,NULL,NULL,17,0.81,21,37,187,6,0.4,0.159,NULL,0.182,0.6,2,0,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,38.7,0.37,0.25,2.92,0.368,0.085,59,0,NULL,0,0.072,4.1
11030,Vegetables and Vegetable Products,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",4.83,0.58,4.72,0.58,33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,89.3,NULL,NULL,NULL,NULL,NULL,19,0.89,23,38,194,7,0.44,0.174,NULL,0.199,0.6,2,0,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,35.6,0.362,0.273,3.024,0.381,0.093,47,0,NULL,0,0.083,4.72
11031,Vegetables and Vegetable Products,"Lima beans, immature seeds, raw",6.84,0.86,20.17,1.89,113,NULL,NULL,NULL,NULL,NULL,NULL,0,70.24,0,0,1.48,NULL,4.9,34,3.14,58,136,467,8,0.78,0.318,NULL,1.215,1.8,209,0,10,126,0,0.32,0,NULL,NULL,0,0,0,23.4,0.217,0.103,1.474,0.247,0.204,34,0,40,0,0.198,15.27
11032,Vegetables and Vegetable Products,"Lima beans, immature seeds, cooked, boiled, drained, without salt",6.81,0.32,23.64,2.06,123,NULL,NULL,NULL,NULL,NULL,NULL,0,67.17,0,0,1.63,NULL,5.4,32,2.45,74,130,570,17,0.79,0.305,NULL,1.252,2,303,0,15,182,0,0.14,0,NULL,NULL,0,0,0,10.1,0.14,0.096,1.04,0.257,0.193,26,0,44.1,0,0.073,18.24
11033,Vegetables and Vegetable Products,"Lima beans, immature seeds, canned, regular pack, solids and liquids",4.07,0.29,13.33,1.14,71,NULL,NULL,NULL,NULL,NULL,NULL,0,81.17,NULL,NULL,NULL,NULL,3.6,28,1.61,34,71,285,252,0.64,0.162,NULL,0.7,1.1,150,0,8,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,7.3,0.029,0.043,0.532,0.095,0.062,16,0,NULL,0,0.066,9.73
11037,Vegetables and Vegetable Products,"Lima beans, immature seeds, frozen, fordhook, unprepared",6.4,0.35,19.83,1.37,106,NULL,NULL,NULL,NULL,NULL,NULL,0,72.05,0,0,1.39,NULL,5.5,24,1.51,38,74,478,58,0.49,0.062,NULL,0.345,1.7,223,0,11,134,0,0.72,0,NULL,NULL,0,0,0,19.3,0.092,0.067,1.187,0.191,0.136,32,0,37.6,0,0.081,14.33
11038,Vegetables and Vegetable Products,"Lima beans, immature seeds, frozen, fordhook, cooked, boiled, drained, without salt",6.07,0.34,19.32,1.3,103,NULL,1.13,0,0.21,0,0,0,72.98,0,0,1.34,0,5.3,30,1.82,42,97,304,69,0.74,0.17,7,0.648,0.6,190,0,10,114,0,0.29,0,NULL,NULL,0,0,0,12.8,0.074,0.061,1.069,0.163,0.122,21,0,36.3,0,0.077,14.02
11039,Vegetables and Vegetable Products,"Lima beans, immature seeds, frozen, baby, unprepared",7.59,0.44,25.14,1.37,132,NULL,NULL,NULL,NULL,NULL,NULL,0,65.46,NULL,NULL,NULL,NULL,6,35,2.21,50,104,452,52,0.63,0.128,NULL,0.702,2.1,189,0,9,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,8.3,0.114,0.075,1.023,0.187,0.16,28,0,NULL,0,0.102,19.14
